IdCliente;Sexo;Jubilado;Pareja;Dependientes;Antigüedad;Teléfono;MultiplesLíneas;Internet;SeguridadOnline;BackupOnline;SeguroDispositivo;SoporteTécnico;Televisión;Cine;Contrato;FacturaElectrónica;MétodoPago;CargoMensual;TotalFacturado;Baja
0318-ZOPWS;Mujer;0;Sí;No;49;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Transferencia bancaria (automática);20.15;973.35;No
4445-ZJNMU;Hombre;0;No;No;9;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;Sí;Mes a mes;Sí;Tarjeta crédito (automática);99.3;918.75;No
4808-YNLEU;Mujer;0;Sí;No;35;Sí;No;DSL;Sí;No;No;No;Sí;No;Un año;Sí;Transferencia bancaria (automática);62.15;2215.45;No
1862-QRWPE;Mujer;0;Sí;Sí;48;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Transferencia bancaria (automática);20.65;1057;No
2796-NNUFI;Mujer;0;Sí;Sí;46;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Cheque por correo;19.95;927.1;No
3016-KSVCP;Hombre;0;Sí;No;29;No;Sin servicio de telefonía;DSL;No;No;No;No;Sí;No;Mes a mes;No;Cheque por correo;33.75;1009.25;No
4767-HZZHQ;Hombre;0;Sí;Sí;30;Sí;No;Fibra óptica;No;Sí;Sí;No;No;No;Mes a mes;No;Transferencia bancaria (automática);82.05;2570.2;No
2424-WVHPL;Hombre;1;No;No;1;Sí;No;Fibra óptica;No;No;No;Sí;No;No;Mes a mes;No;Cheque electrónico;74.7;74.7;No
7233-PAHHL;Hombre;0;Sí;Sí;66;Sí;Sí;DSL;Sí;No;Sí;Sí;Sí;Sí;Dos años;Sí;Cheque por correo;84;5714.25;No
6067-NGCEU;Mujer;0;No;No;65;Sí;Sí;Fibra óptica;Sí;Sí;Sí;No;Sí;Sí;Mes a mes;Sí;Tarjeta crédito (automática);111.05;7107;No
9848-JQJTX;Hombre;0;No;No;72;Sí;Sí;Fibra óptica;No;Sí;Sí;No;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);100.9;7459.05;No
8637-XJIVR;Mujer;0;No;No;12;Sí;Sí;Fibra óptica;Sí;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;78.95;927.35;Sí
9803-FTJCG;Hombre;0;Sí;Sí;71;Sí;Sí;DSL;Sí;Sí;No;Sí;No;No;Un año;Sí;Tarjeta crédito (automática);66.85;4748.7;No
0278-YXOOG;Hombre;0;No;No;5;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;21.05;113.85;Sí
3212-KXOCR;Hombre;0;No;No;52;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Transferencia bancaria (automática);21;1107.2;No
4598-XLKNJ;Mujer;1;Sí;No;25;Sí;No;Fibra óptica;No;Sí;Sí;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;98.5;2514.5;Sí
6380-ARCEH;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;20.2;20.2;No
3679-XASPY;Mujer;0;Sí;Sí;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque electrónico;19.45;19.45;No
7123-WQUHX;Hombre;0;No;No;38;Sí;Sí;Fibra óptica;No;No;Sí;Sí;Sí;No;Un año;No;Transferencia bancaria (automática);95;3605.6;No
5386-THSLQ;Mujer;1;Sí;No;66;No;Sin servicio de telefonía;DSL;No;Sí;Sí;No;Sí;No;Un año;No;Transferencia bancaria (automática);45.55;3027.25;No
3192-NQECA;Hombre;0;Sí;No;68;Sí;Sí;Fibra óptica;No;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);110;7611.85;Sí
6180-YBIQI;Hombre;0;No;No;5;No;Sin servicio de telefonía;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque por correo;24.3;100.2;No
6728-DKUCO;Mujer;0;Sí;Sí;72;Sí;Sí;Fibra óptica;Sí;Sí;No;No;Sí;Sí;Un año;Sí;Cheque electrónico;104.15;7303.05;No
9750-BOOHV;Mujer;0;No;No;32;No;Sin servicio de telefonía;DSL;Sí;No;No;No;No;No;Un año;No;Cheque por correo;30.15;927.65;No
8597-CWYHH;Hombre;0;No;No;43;Sí;Sí;Fibra óptica;No;No;No;No;Sí;Sí;Un año;No;Cheque por correo;94.35;3921.3;No
2848-YXSMW;Hombre;0;Sí;Sí;72;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Tarjeta crédito (automática);19.4;1363.25;No
0486-HECZI;Hombre;0;Sí;No;55;Sí;Sí;Fibra óptica;Sí;Sí;No;No;Sí;No;Mes a mes;Sí;Cheque electrónico;96.75;5238.9;Sí
4549-ZDQYY;Mujer;0;No;No;52;Sí;No;DSL;Sí;No;Sí;Sí;No;No;Un año;No;Tarjeta crédito (automática);57.95;3042.25;No
5712-AHQNN;Mujer;0;No;No;43;Sí;No;Fibra óptica;No;Sí;Sí;No;Sí;No;Mes a mes;Sí;Cheque electrónico;91.65;3954.1;No
4846-WHAFZ;Mujer;1;Sí;No;37;Sí;Sí;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;76.5;2868.15;Sí
5256-SKJGO;Mujer;0;Sí;Sí;64;No;Sin servicio de telefonía;DSL;No;Sí;No;Sí;Sí;Sí;Dos años;Sí;Cheque electrónico;54.6;3423.5;No
3071-VBYPO;Hombre;0;Sí;Sí;3;Sí;No;Fibra óptica;Sí;Sí;No;No;Sí;No;Mes a mes;No;Cheque electrónico;89.85;248.4;No
9560-BBZXK;Mujer;0;No;No;36;No;Sin servicio de telefonía;DSL;Sí;No;No;No;No;No;Dos años;No;Transferencia bancaria (automática);31.05;1126.35;No
5299-RULOA;Mujer;0;Sí;Sí;10;Sí;Sí;Fibra óptica;Sí;No;No;No;Sí;Sí;Mes a mes;Sí;Cheque electrónico;100.25;1064.65;Sí
8402-OOOHJ;Mujer;0;No;No;41;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;20.65;835.15;No
9445-ZUEQE;Hombre;0;Sí;Sí;27;Sí;Sí;Fibra óptica;No;Sí;No;Sí;No;No;Mes a mes;Sí;Tarjeta crédito (automática);85.2;2151.6;No
1091-SOZGA;Mujer;0;Sí;Sí;56;Sí;Sí;Fibra óptica;No;No;Sí;No;Sí;Sí;Un año;Sí;Tarjeta crédito (automática);99.8;5515.45;No
2928-HLDBA;Mujer;0;No;No;6;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;20.7;112.75;No
0404-SWRVG;Hombre;0;No;No;3;Sí;Sí;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque electrónico;74.4;229.55;Sí
6497-TILVL;Mujer;0;Sí;Sí;7;Sí;No;DSL;Sí;No;No;No;No;No;Mes a mes;No;Cheque por correo;50.7;350.35;No
7219-TLZHO;Mujer;0;Sí;Sí;4;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;20.85;62.9;No
4622-YNKIJ;Hombre;0;No;No;33;Sí;No;Fibra óptica;Sí;No;No;Sí;Sí;No;Dos años;Sí;Cheque electrónico;88.95;3027.65;No
4412-YLTKF;Mujer;1;No;No;27;Sí;Sí;Fibra óptica;No;No;Sí;No;No;No;Mes a mes;Sí;Cheque electrónico;78.05;2135.5;Sí
6734-PSBAW;Hombre;0;Sí;No;72;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Transferencia bancaria (automática);23.55;1723.95;No
3930-ZGWVE;Hombre;0;No;No;1;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Mes a mes;No;Cheque por correo;19.75;19.75;No
2639-UGMAZ;Hombre;1;No;No;71;No;Sin servicio de telefonía;DSL;Sí;Sí;No;No;Sí;Sí;Un año;Sí;Cheque electrónico;56.45;3985.35;No
2876-GZYZC;Mujer;0;No;No;13;Sí;Sí;Fibra óptica;No;No;No;No;No;Sí;Mes a mes;Sí;Cheque electrónico;85.95;1215.65;No
6207-WIOLX;Mujer;0;Sí;Sí;25;No;Sin servicio de telefonía;DSL;Sí;Sí;Sí;No;Sí;Sí;Mes a mes;Sí;Tarjeta crédito (automática);58.6;1502.65;Sí
8587-XYZSF;Hombre;0;No;No;67;Sí;No;DSL;No;No;No;Sí;No;No;Dos años;No;Transferencia bancaria (automática);50.55;3260.1;No
3091-FYHKI;Hombre;0;No;No;1;No;Sin servicio de telefonía;DSL;No;No;No;No;No;Sí;Mes a mes;Sí;Cheque electrónico;35.45;35.45;Sí
2372-HWUHI;Hombre;0;No;No;2;Sí;No;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electrónico;44.35;81.25;Sí
7799-LGRDP;Mujer;0;No;No;43;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Tarjeta crédito (automática);25.7;1188.2;No
7850-VWJUU;Mujer;0;No;No;23;Sí;No;Fibra óptica;Sí;No;No;No;No;No;Mes a mes;Sí;Transferencia bancaria (automática);75;1778.5;No
3774-VBNXY;Mujer;0;Sí;Sí;64;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Cheque por correo;20.2;1277.75;No
6217-KDYWC;Hombre;0;No;Sí;57;Sí;No;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;Sí;Cheque por correo;19.6;1170.55;No
0390-DCFDQ;Mujer;1;Sí;No;1;Sí;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;Sí;Cheque por correo;70.45;70.45;Sí
3146-MSEGF;Mujer;1;Sí;Sí;72;Sí;Sí;DSL;Sí;Sí;Sí;Sí;Sí;Sí;Dos años;Sí;Tarjeta crédito (automática);88.05;6425.65;No
4080-OGPJL;Mujer;0;No;No;8;Sí;Sí;DSL;Sí;No;No;Sí;No;Sí;Mes a mes;No;Cheque electrónico;71.15;563.65;Sí
1095-WGNGG;Mujer;0;Sí;No;61;Sí;Sí;Fibra óptica;No;Sí;No;No;Sí;Sí;Dos años;Sí;Transferencia bancaria (automática);101.05;5971.25;No
2636-SJDOU;Hombre;0;No;No;64;Sí;Sí;Fibra óptica;Sí;Sí;No;No;No;No;Un año;Sí;Tarjeta crédito (automática);84.3;5289.05;No
1131-QQZEB;Hombre;1;Sí;No;71;Sí;Sí;No;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Sin servicio de Internet;Dos años;No;Transferencia bancaria (automática);23.95;1756.2;No
